quarantine,cooldown,reward,trigger,mean,median,p95,p99,p999,max,sticking_rate,decay_rate,timeout_rate
0.9,0.85,0.03,50,13.811,10.0,38.0,44.0,54.00199999999995,56,0.148,0.779,0.073
0.99,0.85,0.03,160,14.575,11.0,39.0,48.0,54.00199999999995,56,0.166,0.778,0.056
0.99,0.85,0.0,160,14.666,12.0,40.0,47.02999999999997,54.00199999999995,56,0.169,0.772,0.059
0.99,0.85,0.0,50,13.869,11.0,40.0,47.0,54.00199999999995,56,0.183,0.768,0.049
0.9,0.85,0.015,80,13.905,11.0,37.0,46.00999999999999,54.000999999999976,55,0.154,0.787,0.059
0.97,0.85,0.0,50,14.83,10.5,42.0,49.0,54.000999999999976,55,0.167,0.767,0.066
0.99,0.85,0.005,160,14.801,11.0,40.0,47.0,54.0,54,0.161,0.776,0.063
0.94,0.85,0.005,50,14.1,11.0,39.0,47.00999999999999,54.0,54,0.162,0.771,0.067
0.97,0.85,0.0,160,14.24,11.0,40.0,47.00999999999999,54.0,54,0.164,0.776,0.06
0.99,0.85,0.015,120,15.077,11.0,40.0,49.0,53.006999999999834,60,0.155,0.782,0.063
0.94,0.85,0.015,160,14.524,11.0,39.0,49.0,53.00499999999988,58,0.173,0.759,0.068
0.99,0.85,0.03,50,14.764,11.0,40.049999999999955,46.00999999999999,53.00299999999993,56,0.164,0.781,0.055
0.97,0.85,0.005,80,14.544,10.0,40.049999999999955,48.00999999999999,53.00299999999993,56,0.175,0.766,0.059
0.99,0.85,0.005,80,15.055,12.0,41.0,47.00999999999999,53.00299999999993,56,0.175,0.769,0.056
0.94,0.85,0.03,160,14.602,11.0,39.0,47.00999999999999,53.00199999999995,55,0.158,0.775,0.067
0.94,0.85,0.005,160,14.248,11.0,40.0,46.00999999999999,53.00199999999995,55,0.163,0.775,0.062
0.9,0.85,0.03,120,14.049,11.0,37.0,47.0,53.00199999999995,55,0.175,0.774,0.051
0.97,0.85,0.015,160,14.79,11.0,40.0,49.0,53.00199999999995,55,0.175,0.762,0.063
0.97,0.85,0.03,80,14.883,11.0,41.0,47.0,53.00199999999995,55,0.177,0.748,0.075
0.94,0.85,0.03,120,14.483,11.0,40.0,48.0,53.00199999999995,55,0.178,0.756,0.066
0.9,0.85,0.0,160,14.552,11.0,40.0,47.00999999999999,53.00199999999995,55,0.18,0.746,0.074
0.97,0.85,0.0,120,14.664,11.0,40.049999999999955,48.0,53.000999999999976,54,0.159,0.774,0.067
0.9,0.85,0.03,160,14.187,11.0,40.0,45.00999999999999,53.000999999999976,54,0.161,0.771,0.068
0.94,0.85,0.03,80,13.489,10.0,38.0,44.0,53.0,53,0.16,0.795,0.045
0.94,0.85,0.015,80,14.106,11.0,39.0,47.00999999999999,52.00599999999986,58,0.184,0.764,0.052
0.99,0.85,0.015,160,15.189,12.0,40.0,48.0,52.003999999999905,56,0.177,0.758,0.065
0.9,0.85,0.0,80,13.864,10.0,38.0,47.0,52.003999999999905,56,0.182,0.758,0.06
0.94,0.85,0.0,50,13.694,10.0,38.0,45.00999999999999,52.00299999999993,55,0.166,0.786,0.048
0.9,0.85,0.005,50,13.206,10.0,37.0,44.00999999999999,52.00199999999995,54,0.166,0.777,0.057
0.9,0.85,0.015,50,13.481,10.0,39.0,46.0,52.00199999999995,54,0.174,0.767,0.059
0.94,0.85,0.005,120,13.532,10.0,38.0,49.0,52.000999999999976,53,0.161,0.786,0.053
0.94,0.85,0.015,50,14.309,11.0,39.0,46.0,52.0,52,0.204,0.729,0.067
0.94,0.85,0.005,80,14.449,11.0,38.0,46.00999999999999,51.00799999999981,59,0.175,0.758,0.067
0.97,0.85,0.0,80,14.763,12.0,39.0,47.0,51.00799999999981,59,0.177,0.762,0.061
0.9,0.85,0.0,120,13.062,10.0,38.049999999999955,45.0,51.003999999999905,55,0.151,0.79,0.059
