controller,unsafe_time,control_energy,position_error,motor_heat,max_abs_position,productivity,seed
PID,0.4127777777777778,0.8826546850324808,1.1318640728009872,5.846695154282986,3.023908146852019,0.1830082295072396,1822
GSCX,0.0133333333333333,0.3821414980348224,0.2742159337537161,2.565694628691489,1.3775611251263455,0.3921207277228272,1822
PID,0.2405555555555555,0.8319748919482648,0.8609362891199736,5.480934398646979,2.2035158556557555,0.210760454362737,1823
GSCX,0.2902777777777778,0.8346158018528048,0.9105942473688112,5.500421386284274,2.2196643668825478,0.2058029953691231,1823
PID,0.7411111111111112,0.9435622134834653,1.967828918369538,6.235880629821264,4.277184759751127,0.142325530386423,1824
GSCX,0.1022222222222222,0.6558319926363437,0.5942913439632502,4.429447092716381,2.4682490270825217,0.2565705496526531,1824
PID,0.5147222222222222,0.9015791424962007,1.378166854399834,5.964209080654032,3.645610823198985,0.1677468767839765,1825
GSCX,0.1644444444444444,0.6923293527222364,0.6686664575186193,4.51005917009456,2.137296545228245,0.247125800205122,1825
PID,0.2722222222222222,0.8413245002840123,0.8618217630258402,5.536414801661688,2.044505840935217,0.2091215443173959,1826
GSCX,0.1841666666666666,0.7124345843256807,0.7009557193446186,4.792838250524374,2.5413801498455277,0.2348370128410907,1826
PID,0.0936111111111111,0.5913774466988436,0.4777966633146291,4.064869139014944,2.257504638748145,0.2794145223034511,1827
GSCX,0.2197222222222222,0.8051314461217998,0.8243404733284261,5.3121459433301625,1.9999505152415904,0.2179574708811114,1827
PID,0.7036111111111111,0.9355303456365588,1.7132603051378743,6.180466233244188,3.4446322278000125,0.1518440283964205,1828
GSCX,0.0,0.3922324197815536,0.2788250899828664,2.6362616472958447,0.9172331705082865,0.3974607433601296,1828
PID,0.4622222222222222,0.8873056352873792,1.2527662826918224,5.851852659730417,4.070695169328476,0.1731246632595815,1829
GSCX,0.0,0.4012857624403735,0.2866016503987305,2.705238975602327,1.0544816490929032,0.3892244233661603,1829
PID,0.4786111111111111,0.8864746484246752,1.3021139432683349,5.844592485745652,3.884166248771223,0.1717753408751099,1830
GSCX,0.0,0.4430230262823385,0.3149178892372904,2.9843689324738536,1.1724027832619366,0.3661679154055237,1830
PID,0.4175,0.8731256101207596,1.1074756518082678,5.763150315625142,3.1622486376033776,0.1843249274866095,1831
GSCX,0.0033333333333333,0.477842777105385,0.3551073612537153,3.250574491324777,1.2261397958840683,0.3455641707888064,1831
PID,0.4455555555555555,0.8907028947488067,1.186322772757287,5.915536165519602,3.009255909610381,0.1791191725923625,1832
GSCX,0.0,0.3283719570118241,0.2316759477924474,2.2006498650446704,0.875709061948408,0.4389963122359687,1832
PID,0.2769444444444444,0.8315121931292097,0.8504752791381469,5.4938950251676815,2.1845314022031244,0.2095709034180108,1833
GSCX,0.0075,0.486723629327436,0.3588014386542268,3.287233988738398,1.3381234322602138,0.3410276068792757,1833
PID,0.3325,0.8465620530239015,0.9198820745406642,5.577064569130705,2.4953205575626454,0.2009349797184205,1834
GSCX,0.2013888888888889,0.8065101219610868,0.8021367641915964,5.3187642449697465,2.344783436685588,0.217883418559399,1834
PID,0.1836111111111111,0.785567970668752,0.7378378630067206,5.161813758819364,2.1668080327372765,0.2264805535404702,1835
GSCX,0.0,0.3519243900175595,0.2510444712349685,2.363969071831697,1.0684284105942816,0.4183898263861891,1835
PID,0.2305555555555555,0.8691579313525067,0.9056836422706338,5.74143632467889,2.5303870534199566,0.2027954216789268,1836
GSCX,0.2858333333333333,0.814045009229998,0.8897096350107788,5.352720376212358,2.302387439906934,0.209179953877408,1836
PID,0.2436111111111111,0.8544339672395229,0.8992961780201848,5.643770231001681,3.0376222817420078,0.2017281466583186,1837
GSCX,0.0,0.4645419645383121,0.3329979967065259,3.160058454189862,1.081026700250915,0.3557344860917022,1837
PID,0.4902777777777777,0.902076233648934,1.251847083473679,5.9529689984136285,3.778978924341332,0.1721093229541436,1838
GSCX,0.0058333333333333,0.4419668046978414,0.3145437347852388,2.9787579209757875,1.2455707790291903,0.3645975395963109,1838
PID,0.5483333333333333,0.910831911968752,1.4572935105712574,6.011137674753408,4.259132996458454,0.1619112076385604,1839
GSCX,0.0,0.3651208222449477,0.2572503859353993,2.45000320199704,0.9571048970425912,0.413285730590355,1839
PID,0.4669444444444444,0.8944227190324132,1.3132848716759549,5.905845706999468,3.4802534803844867,0.1724517193412232,1840
GSCX,0.0,0.3698813296489973,0.2590812156569144,2.493992224426582,0.8929594928514142,0.4112707341003093,1840
PID,0.6663888888888889,0.9302665071402656,1.7245063435070556,6.156968815903961,4.766483206388741,0.1490561126314068,1841
GSCX,0.0402777777777777,0.4574504873923096,0.3750393589463284,3.1126895191468,1.5394734010144495,0.340965048104914,1841
PID,0.5433333333333333,0.9028091467551108,1.4423165737622137,5.94595338719326,4.143148520674157,0.163548152612268,1842
GSCX,0.0,0.4370205996319259,0.3105842061807752,2.968090839799226,1.0949121574077345,0.369204893154548,1842
PID,0.3558333333333333,0.8650825386114873,1.0155610854119317,5.750307600010841,2.4685728921974577,0.193383421927797,1843
GSCX,0.0,0.337260664013886,0.2422178366542989,2.2602195956209856,0.914702236571008,0.4312114195877378,1843
PID,0.7133333333333334,0.9365887625731084,2.053727206203765,6.184135147439334,5.528300428780049,0.1384707542071428,1844
GSCX,0.13,0.6248936297593166,0.6014015089376625,4.192207372936523,2.3204235130701787,0.2618851881785967,1844
PID,0.1297222222222222,0.662687386115281,0.6142922797732142,4.523383473050261,3.3973108957788254,0.2442291952432197,1845
GSCX,0.2108333333333333,0.7428843109935241,0.7570738450245319,4.874815958654019,2.13025621414609,0.2304291439035571,1845
PID,0.2019444444444444,0.8379684245303378,0.8024742765772869,5.521728946427651,2.140316651237176,0.214998507940456,1846
GSCX,0.0102777777777777,0.5004555343983822,0.3699551765544579,3.3940836400784997,1.2781119172380664,0.3351502760888918,1846
PID,0.2422222222222222,0.8596655011491937,0.8938276006481256,5.6685642515472905,2.5747287351228083,0.2038633326881857,1847
GSCX,0.1830555555555555,0.6520050545736399,0.6433971252332606,4.4076723108999,2.2402141837059912,0.2502686835327296,1847
PID,0.2583333333333333,0.835631732599853,0.8873352747330945,5.517921132585668,2.7525205652550957,0.2052540404039995,1848
GSCX,0.2144444444444444,0.777379045608396,0.7769501902435647,5.120417633769939,1.86188650628958,0.2255054423098421,1848
PID,0.5361111111111111,0.9025063375694314,1.4089039238562693,5.944917482588387,3.6597732765076194,0.1663360130906866,1849
GSCX,0.0680555555555555,0.6298585959501027,0.5224662986651948,4.084945362334183,1.5951738091877945,0.2819000502781824,1849
PID,0.6072222222222222,0.9182038682123536,1.5290685917154516,6.066441622090564,3.823735502685368,0.1591218449343231,1850
GSCX,0.155,0.6938661439048287,0.6513137154254509,4.525720575822708,2.1666439112155342,0.2482816228636901,1850
PID,0.6416666666666667,0.9255261479854644,1.800947941556358,6.113393019839081,5.756602589660409,0.1455672719734254,1851
GSCX,0.0,0.3516228111787073,0.2567839333903027,2.371018179704112,1.100941079221448,0.4162050459915053,1851
PID,0.2608333333333333,0.8367115725874669,0.8487703007087336,5.522921091201602,2.145547219202266,0.2100183402294994,1852
GSCX,0.0041666666666666,0.3592917334801692,0.2621582565344518,2.412870111782408,1.240881816598268,0.4085580848271957,1852
PID,0.2894444444444444,0.8536833556945567,0.9244280793541688,5.635608737662245,2.470433834114848,0.2016377843497954,1853
GSCX,0.2177777777777777,0.8128934776090326,0.8392244700327757,5.360766753045626,2.61847909090159,0.212892215475698,1853
PID,0.6683333333333333,0.9313945831861868,1.6332535606402707,6.159582418684626,3.79533744466298,0.1539566674387385,1854
GSCX,0.0738888888888888,0.6756902002426203,0.5725555700581446,4.590273222827151,1.569947800573615,0.2629675913108608,1854
PID,0.685,0.9350785693809208,1.7735777573508615,6.177217237556217,3.901872418994788,0.1495445259698855,1855
GSCX,0.0955555555555555,0.6183738098564598,0.5454627937963634,4.148318058504002,2.264238880683894,0.2704564591247109,1855
PID,0.2544444444444444,0.8517076830573664,0.8741545055938837,5.640206595489187,2.4908405555156903,0.2052437296429691,1856
GSCX,0.1261111111111111,0.6865419781132952,0.6632665625230978,4.6577469192449525,3.610168886302644,0.2365139783846675,1856
PID,0.2755555555555555,0.8511379710126543,0.9141067840493672,5.616428192015796,2.512877211041076,0.202782984040948,1857
GSCX,0.0430555555555555,0.5394757343852958,0.438017179617949,3.662071211946397,1.8288528563430129,0.3059202481305099,1857
PID,0.7183333333333334,0.9394550091604184,2.019328654972193,6.208512721691671,5.001834533042049,0.1401433822882012,1858
GSCX,0.155,0.7095355018351234,0.6761302827948795,4.646109947457506,1.9726600264154797,0.245044467469274,1858
PID,0.6638888888888889,0.9315001285276988,1.725267309104295,6.165231417216223,3.814508304563812,0.151597152268102,1859
GSCX,0.0075,0.4490020745999969,0.3223325770043363,3.013984450485212,1.2755740930183126,0.3607399215321756,1859
PID,0.2569444444444444,0.8626358890394363,0.8831725061682745,5.694865473426718,2.226707557870321,0.2050428999658431,1860
GSCX,0.1225,0.5951405389173753,0.5720864600006689,4.045831669970744,2.6631477141256177,0.2662954750110545,1860
PID,0.2766666666666666,0.8547193681582113,0.892780957685998,5.639672196333837,2.10130046927626,0.2053645002257114,1861
GSCX,0.1316666666666666,0.6515188867155277,0.5996185903290557,4.2963931362346575,1.673690764628285,0.263921105645609,1861
PID,0.1813888888888888,0.7669149703111652,0.7123411316706169,5.018625940210877,2.2587638447967646,0.2305397580122086,1862
GSCX,0.0086111111111111,0.3649021293345198,0.2592598822920301,2.451659960293567,1.388276901959816,0.4027909945197817,1862
PID,0.2547222222222222,0.8478080490902358,0.8599321492448593,5.585210433336227,2.0606232720817297,0.2090187557890631,1863
GSCX,0.1575,0.6717439025903563,0.6525861148766967,4.377944747737712,2.010765546357359,0.253087540834273,1863
PID,0.2205555555555555,0.8457825877079292,0.8420777464091872,5.578188894860081,2.3857875966514035,0.2098149826654569,1864
GSCX,0.2375,0.7877240459106183,0.8442141296113492,5.209608633908271,3.491189579275235,0.209955363853126,1864
PID,0.2816666666666667,0.8618162365010885,0.8954472880438519,5.688390363489696,2.17116447803067,0.2038340219667147,1865
GSCX,0.1525,0.6898891374439999,0.6645708832679694,4.491604376695648,2.0317336481350043,0.2493860332164541,1865
PID,0.2708333333333333,0.8617931410293815,0.8988009906587722,5.693994646701664,2.5856248724668696,0.20200002456165,1866
GSCX,0.0,0.3977189347401419,0.2782246628211894,2.697888519482144,1.164680998407391,0.389249951531203,1866
PID,0.3061111111111111,0.8615558324429597,0.9211350640545724,5.6971203919543685,2.44326308802372,0.2002305248459195,1867
GSCX,0.2488888888888888,0.8064958946735316,0.8598097534121149,5.324008744155193,2.300740048746022,0.2128975627228747,1867
PID,0.1444444444444444,0.7209310003105437,0.6289554340511179,4.918932981332191,2.3286168885145075,0.2402820945162828,1868
GSCX,0.295,0.8219097783820762,0.8791081652802177,5.444078974149509,1.9155548534583613,0.209767944810156,1868
PID,0.2211111111111111,0.7669977830448753,0.7586271812598178,5.028013808245875,2.300530021134099,0.2253968899186264,1869
GSCX,0.1333333333333333,0.7163618687950091,0.6568760067833195,4.695168565159804,1.6363032526135866,0.2488846749805901,1869
PID,0.3005555555555556,0.8537909453064324,0.9498733320980628,5.629710419714478,2.492678973786295,0.2000343150863861,1870
GSCX,0.0,0.3027961794203763,0.2177466105119971,2.0255313694795585,0.8861760504304157,0.4564007947939439,1870
PID,0.2658333333333333,0.8363463743033912,0.8739907363403729,5.539054797427176,2.3910817560876505,0.2070745786703249,1871
