H0,A,a_t,n,k,Omega_nu,BH_fraction,early_residual,vacuum_decay,present_age_Gyr,time_to_a10_Gyr,time_to_a1000_Gyr,time_to_a1e6_Gyr,q_future,fate
64.0,0.1,0.3,9,0.01,0.0,0.002,0.0,0.0,14.37716039940619,55.67763011146966,140.68214871523867,268.20774762702973,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,0.01,0.0,0.002,0.02,0.0,12.351331852205686,53.61452920098181,138.61904726679197,266.14464617858295,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,0.01,0.0,0.002,0.05,0.0,11.146986341640616,52.35529546726998,137.35981272614208,264.885411637933,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,0.01,0.0,0.01,0.0,0.0,14.37394995689418,55.67374204745421,140.67825999536626,268.2038589071573,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,0.01,0.0,0.01,0.02,0.0,12.349309922760533,53.61183695907062,138.61635436902404,266.141953280815,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,0.01,0.0,0.01,0.05,0.0,11.145474381944943,52.35312375882166,137.35764036183724,264.88323927362813,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,0.01,0.01,0.0,0.0,0.0,13.91454290449978,55.47966822859848,141.1115939479775,269.5784790045475,-1.0000000000000016,runaway
64.0,0.1,0.3,9,0.01,0.01,0.0,0.02,0.0,12.180234801609409,53.70775202985876,139.33967719928228,267.80656225585227,-1.0000000000000016,runaway
64.0,0.1,0.3,9,0.01,0.01,0.0,0.05,0.0,11.0372731576828,52.50940819080154,138.14133253529292,266.6082175918628,-1.0000000000000016,runaway
64.0,0.1,0.3,9,0.01,0.01,0.002,0.0,0.0,13.913829813423249,55.47878367296503,141.11070922472314,269.5775942812932,-1.0000000000000016,runaway
64.0,0.1,0.3,9,0.01,0.01,0.002,0.02,0.0,12.179751462259247,53.70709907424012,139.33902407604293,267.8059091326129,-1.0000000000000016,runaway
64.0,0.1,0.3,9,0.01,0.01,0.002,0.05,0.0,11.0369065492319,52.50887463742782,138.14079881429856,266.60768387086847,-1.0000000000000016,runaway
64.0,0.1,0.3,9,0.01,0.01,0.01,0.0,0.0,13.91097862947665,55.47524669793133,141.10717157920635,269.57405663577634,-1.0000000000000016,runaway
64.0,0.1,0.3,9,0.01,0.01,0.01,0.02,0.0,12.177818713051549,53.70448792537281,139.33641225669294,267.80329731326293,-1.0000000000000016,runaway
64.0,0.1,0.3,9,0.01,0.01,0.01,0.05,0.0,11.03544050026821,52.506740871742046,138.13866437812987,266.6055494346997,-1.0000000000000016,runaway
64.0,0.1,0.3,9,0.01,0.03,0.0,0.0,0.0,13.255187490548623,55.36595527078785,142.2955332128464,272.7092626182184,-1.0000000000000009,runaway
64.0,0.1,0.3,9,0.01,0.03,0.0,0.02,0.0,11.8661083669756,53.93857830648312,140.8681556732121,271.2818850785838,-1.0000000000000009,runaway
64.0,0.1,0.3,9,0.01,0.03,0.0,0.05,0.0,10.82975391095861,52.84582670680272,139.7754032105373,270.1891326159088,-1.0000000000000009,runaway
64.0,0.1,0.3,9,0.01,0.03,0.002,0.0,0.0,13.254581920347997,55.36517398690016,142.2947517536036,272.7084811589756,-1.0000000000000009,runaway
64.0,0.1,0.3,9,0.01,0.03,0.002,0.02,0.0,11.865663568754846,53.93795968560827,140.86753687698246,271.2812662823542,-1.0000000000000009,runaway
64.0,0.1,0.3,9,0.01,0.03,0.002,0.05,0.0,10.8294081280006,52.84530983439351,139.77488616277344,270.18861556814494,-1.0000000000000009,runaway
64.0,0.1,0.3,9,0.01,0.03,0.01,0.0,0.0,13.252160516036302,55.36204979692506,142.29162686220891,272.7053562675809,-1.0000000000000009,runaway
64.0,0.1,0.3,9,0.01,0.03,0.01,0.02,0.0,11.863884901353355,53.93548579490288,140.86506228485752,271.27879169022924,-1.0000000000000009,runaway
64.0,0.1,0.3,9,0.01,0.03,0.01,0.05,0.0,10.828025344223777,52.84324275761521,139.77281838457594,270.18654778994744,-1.0000000000000009,runaway
64.0,0.1,0.3,9,0.1,0.0,0.0,0.0,0.0,14.4190144649076,55.7196530974573,140.72417186434467,268.24977077613573,-0.9999999999999996,stable_acceleration
