mode,survived,peak,minT,maxD,unsafe,energy,yield,ype,RECOVERY_frac
pid,False,1.0844864361571152,0.0,1.0,82.13999999998997,630.1555839872113,4.871346218608685,0.007718138510056166,
gscx,True,0.47237407392526487,0.9337613277542322,1.0207777558169673,0.0,18.869363823824447,92.38760498308142,4.649751537203404,0.0
pid,False,1.5122485940742385,0.0,1.0,82.14999999998994,616.8151951635781,5.584529562565965,0.009039158645308742,
gscx,False,0.8138905830364295,0.8324242300757876,1.0629111551449433,0.4180000000000003,30.202175435776148,91.3584562928255,2.927951497512403,0.0
pid,False,1.5152146173496246,0.0,1.0,81.5239999999914,643.989925252661,5.159782149990239,0.00799978720282957,
gscx,False,0.7531657135459451,0.652849589421266,1.1080578478401035,0.3020000000000002,51.260076025866304,71.34022303063168,1.3650998707947073,0.0
pid,False,1.4677168654937593,0.0,1.0,81.0099999999926,645.9727983548986,6.101905112262447,0.00943147088684126,
gscx,True,0.7499971814570863,0.7635007008758444,1.0855352363513544,0.0,48.52736700203583,82.29466698226544,1.6615998782831056,0.0
pid,False,1.388134803625019,0.0,1.0,81.26199999999201,624.8482111193345,6.231022971821724,0.009956124921532476,
gscx,True,0.6671859895617077,0.7583722705139098,1.0775000918163178,0.0,42.56844816278421,85.43161389914992,1.9608596932338038,0.0
