H0,A,a_t,n,k,Omega_nu,BH_fraction,early_residual,vacuum_decay,present_age_Gyr,time_to_a10_Gyr,time_to_a1000_Gyr,time_to_a1e6_Gyr,q_future,fate
64.0,0.1,0.3,4,1.0,0.01,0.01,0.0,0.0,14.034805257614664,55.59908363272353,141.23100853680248,269.69789359337256,-1.0000000000000016,runaway
64.0,0.1,0.3,4,1.0,0.01,0.01,0.0,1e-05,14.034774528031976,55.59876124031752,141.23005041062558,269.38645933005404,-1.0786406851968133,runaway
64.0,0.1,0.3,4,1.0,0.01,0.01,0.02,0.0,12.253975255252126,53.78065497873599,139.41257933286855,267.8794643894385,-1.0000000000000016,runaway
64.0,0.1,0.3,4,1.0,0.01,0.01,0.02,1e-05,12.25394785324154,53.780336569385874,139.41162518975983,267.56803410918815,-1.0786406851968133,runaway
64.0,0.1,0.3,4,1.0,0.01,0.01,0.05,0.0,11.092890163752152,52.56420134613475,138.19612487534812,266.663009931918,-1.0000000000000016,runaway
64.0,0.1,0.3,4,1.0,0.01,0.01,0.05,1e-05,11.09286616366348,52.563887294012844,138.1951750894861,266.3515840089145,-1.0786406851968133,runaway
64.0,0.1,0.3,4,1.0,0.03,0.0,0.0,0.0,13.363543354338645,55.47432217132577,142.40390013733918,272.8176295427112,-1.0000000000000007,runaway
64.0,0.1,0.3,4,1.0,0.03,0.0,0.0,1e-05,13.363514196848302,55.473989439147836,142.40290232999808,272.4927369054643,-1.0807227858839843,runaway
64.0,0.1,0.3,4,1.0,0.03,0.0,0.02,0.0,11.938704575058678,54.01118575718851,140.94076314788134,271.35449255325307,-1.0000000000000007,runaway
64.0,0.1,0.3,4,1.0,0.03,0.0,0.02,1e-05,11.938678280169638,54.01085656498885,140.93976888053174,271.0296034559978,-1.0807227858839843,runaway
64.0,0.1,0.3,4,1.0,0.03,0.0,0.05,0.0,10.885597568818538,52.90168190902239,139.83125843673506,270.2449878421065,-1.0000000000000007,runaway
64.0,0.1,0.3,4,1.0,0.03,0.0,0.05,1e-05,10.885574350139212,52.901356780359386,139.83026823294125,269.9201028084072,-1.0807227858839843,runaway
64.0,0.1,0.3,4,1.0,0.03,0.002,0.0,0.0,13.362932578341132,55.47353568298528,142.4031134736465,272.8168428790185,-1.0000000000000007,runaway
64.0,0.1,0.3,4,1.0,0.03,0.002,0.0,1e-05,13.36290342426522,55.473202957534376,142.40211567303646,272.4919502485027,-1.0807227858839843,runaway
64.0,0.1,0.3,4,1.0,0.03,0.002,0.02,0.0,11.938257839374998,54.01056520017893,140.94014241551986,271.3538718208916,-1.0000000000000007,runaway
64.0,0.1,0.3,4,1.0,0.03,0.002,0.02,1e-05,11.938231547282184,54.01023601403484,140.93914815422957,271.02898272969566,-1.0807227858839843,runaway
64.0,0.1,0.3,4,1.0,0.03,0.002,0.05,0.0,10.885250818837834,52.90116407089574,139.83074042325612,270.2444698286276,-1.0000000000000007,runaway
64.0,0.1,0.3,4,1.0,0.03,0.002,0.05,1e-05,10.885227602388676,52.9008389476462,139.8297502248802,269.9195848003461,-1.0807227858839843,runaway
64.0,0.1,0.3,4,1.0,0.03,0.01,0.0,0.0,13.360490358518193,55.47039068287363,142.39996777212636,272.81369717749834,-1.0000000000000007,runaway
64.0,0.1,0.3,4,1.0,0.03,0.01,0.0,1e-05,13.360461218092766,55.47005798432297,142.39896999843234,272.48880457389856,-1.0807227858839843,runaway
64.0,0.1,0.3,4,1.0,0.03,0.01,0.02,0.0,11.936471423868417,54.00808356668025,140.93766008061255,271.35138948598427,-1.0000000000000007,runaway
64.0,0.1,0.3,4,1.0,0.03,0.01,0.02,1e-05,11.9364451429553,54.00775440475208,140.93666584355435,271.0265004190204,-1.0807227858839843,runaway
64.0,0.1,0.3,4,1.0,0.03,0.01,0.05,0.0,10.88386416756858,52.89909313184586,139.82866878279827,270.2423981881698,-1.0000000000000007,runaway
64.0,0.1,0.3,4,1.0,0.03,0.01,0.05,1e-05,10.883840960036444,52.898768030244604,139.8276786060864,269.91751318155235,-1.0807227858839843,runaway
64.0,0.1,0.3,9,0.01,0.0,0.0,0.0,0.0,14.377963380084777,55.67860251407663,140.6831212818101,268.20872019360115,-0.9999999999999997,stable_acceleration
64.0,0.1,0.3,9,0.01,0.0,0.0,0.0,1e-05,14.377931784145193,55.67828488510164,140.68218179047435,267.903669251841,-1.077639661071607,runaway
