A,a_t,n,k,present_age_Gyr,time_to_a2_Gyr,time_to_a10_Gyr,time_to_a100_Gyr,time_to_a1000_Gyr,time_to_a1e6_Gyr,q_future,bh_feed_final,bh_sector_today,fate
0.2,0.7,12,0.1,13.310432832587937,24.45494533769119,52.52469705950033,92.89331829849917,133.2632771928783,254.33615517386676,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.7,12,0.3,13.641494368162117,24.785093693623914,52.854630108127985,93.22324954441928,133.59320843699746,254.66608641798427,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.7,12,1.0,13.770861315227457,24.91412993579695,52.98358836555939,93.35220714888199,133.7221660408082,254.79504402179433,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.3,0.3,4,0.01,13.387046724701074,24.531390596048013,52.6012129095338,92.96983482554359,133.33979372059932,254.41267170158832,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.3,0.3,4,0.03,13.399096510804826,24.543402305328737,52.61321187753341,92.98183368393563,133.35179257888177,254.42467055987075,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.3,0.3,4,0.1,13.498002210474729,24.642006612298623,52.711715328812325,93.08033626758592,133.45029516166497,254.52317314265312,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.3,0.3,4,0.3,13.697778114307187,24.841230454921664,52.9107544176474,93.27937376698704,133.64933265947826,254.72221064046494,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.3,0.3,4,1.0,13.777136421921476,24.920388862615262,52.98984592126007,93.35846469500693,133.7284235869232,254.80130156790935,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.3,0.3,6,0.01,13.409468047487668,24.552817107682518,52.62230059857694,92.99091959323458,133.36087848537164,254.43375646635803,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.3,0.3,6,0.03,13.42068143047161,24.564026342970756,52.63350864753628,93.00212763220934,133.37208652433657,254.44496450532296,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.3,0.3,6,0.1,13.513093009982617,24.65640511221188,52.725878032306206,93.09449693799775,133.46445583004598,254.5373338110323,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.3,0.3,6,0.3,13.70181305288679,24.8450651500231,52.9145209071409,93.28313966838545,133.65309856028912,254.7259765412753,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.3,0.3,6,1.0,13.777563500683463,24.920793899905348,52.99024345081361,93.35886215982524,133.7288210516768,254.80169903266292,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.3,0.3,9,0.01,13.427324206163869,24.570555662507658,52.64000538904969,93.0086240995023,133.37858299135524,254.45146097234138,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.3,0.3,9,0.03,13.437866575712206,24.58109790420486,52.65054759851039,93.0191663086932,133.38912520054586,254.46200318153203,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.3,0.3,9,0.1,13.525078974891976,24.668309292080767,52.7377587313967,93.10637743944348,133.476336331294,254.54921431228016,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.3,0.3,9,0.3,13.705000760847541,24.848229228787407,52.91767820183412,93.28629690597477,133.6562557978215,254.72913377880766,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.3,0.3,9,1.0,13.777900088477908,24.921127887814706,52.990576692279916,93.35919539500871,133.7291542868541,254.80203226784025,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.3,0.3,12,0.01,13.435043092102777,24.578270917019296,52.647719726128564,93.016338428896,133.38629732074142,254.45917530172758,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.3,0.3,12,0.03,13.445284141413808,24.58851196262993,52.65796077086791,93.0265794736281,133.39653836547353,254.46941634645967,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.3,0.3,12,0.1,13.530182092336942,24.67340988428287,52.74285868562912,93.11147738833156,133.48143628017692,254.55431426116306,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.3,0.3,12,0.3,13.706309281003053,24.84953701942635,52.91898580817012,93.2876045107671,133.65756340261237,254.7304413835985,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
