controller,seed,survived,collapse_time,peak_A,min_temp,max_density,unsafe_time,control_energy,fusion_yield,yield_per_energy
PID,91,0,8.509,1.550462957421826,0.7549883812184242,1.1539014923047781,5.743000000000253,5.415221732022403,2.1438887735029417,0.3959004597040518
PID,92,0,8.65,1.5510094426322467,0.8322624545829113,1.0996001017178083,2.978999999999783,5.546769905344647,4.332752595212295,0.7811307604911276
PID,93,0,8.526,1.550428775298808,0.7691579403121609,1.144482293782138,4.814999999999943,5.259553809253358,2.636988867051827,0.5013712117387388
PID,94,0,8.554,1.5515548372240842,0.7431534280306953,1.1638754908036675,5.714000000000243,5.604850950408747,2.0997719439117195,0.37463475159566084
PID,95,0,8.571,1.5501995625528877,0.8112808932095422,1.1113395110274547,2.667999999999817,6.005772415872088,3.1072919870581686,0.5173842382586487
PID,96,0,8.742,1.550532331648246,0.7554044786722836,1.1543855092962867,6.003000000000339,6.646014589695091,2.489151341789276,0.3745329336583568
PID,97,0,8.669,1.5502467709462096,0.8225900659330095,1.1069880808255304,2.8899999999997927,5.478742693110306,4.122477383129064,0.7524495332771809
PID,98,0,8.486,1.5501275713573932,0.7288812412036951,1.172555821691805,7.311000000000776,5.546824350793036,1.6825298404642648,0.3033320930597666
PID,99,0,8.53,1.5502382113998554,0.7640300133713066,1.1486041776063338,5.521000000000178,5.156981717302349,2.5155990981590426,0.48780454063489764
PID,100,0,8.423,1.550581096296775,0.7589392212732,1.149237172064672,5.528000000000181,5.391019792852641,2.3776935034357227,0.4410470735327289
PID,101,0,8.499,1.550377862091937,0.7970352919516787,1.1208101145949054,4.0539999999996885,5.753789619827063,3.1022545769272627,0.5391671891683342
PID,102,0,8.394,1.5506463474874006,0.7458675759046,1.1571253621916349,6.21500000000041,5.6673153983357,1.9447498595317232,0.34315186688915866
PID,103,0,8.653,1.550014712425033,0.7993505561493538,1.1214658043667107,2.9099999999997905,6.077548973005167,2.9519208583112877,0.4857091026229841
PID,104,0,8.376,1.550024302169621,0.8027925177632261,1.11532784302616,3.831999999999689,5.329125389947724,3.3680884162089613,0.6320152312291502
PID,105,0,8.551,1.5507289089509368,0.8208046422364981,1.1051426378715026,4.318999999999777,5.435339858495051,3.856621004909167,0.7095455122593661
PID,106,0,8.633000000000001,1.5515708370347148,0.8281566648834265,1.10307920779198,1.3679999999999601,5.310195988671175,3.7112671060091866,0.6988945630684716
PID,107,0,8.385,1.550917674936736,0.7813271760355236,1.1324015174394462,4.6349999999998825,5.234133542198903,2.7927596250727293,0.5335667502602353
PID,108,0,8.465,1.55023464342501,0.8211069777814234,1.1048491754748955,3.2189999999997565,5.044904203824086,3.882815890106656,0.769651064215212
PID,109,0,8.366,1.5509058260686828,0.7552706640373937,1.1512935767032857,6.295000000000437,5.0435440913309755,2.098555622150218,0.4160874939789271
PID,110,0,8.437,1.550107322805424,0.7256364053133701,1.1747604665366524,6.881000000000633,5.299947320152276,1.804479559128198,0.340471225426422
PID,111,0,8.395,1.5510510404502618,0.800173854175281,1.118627356709634,4.331999999999781,5.1436541027826195,3.4011613283213813,0.6612344570021111
PID,112,0,8.454,1.5504755535452404,0.7630002580916251,1.147607961142635,5.31600000000011,5.348465182318324,2.584663130567792,0.4832532403182255
